Feature Concentration;Architectural Smell;Unutilized Abstraction;Design Smell;545
Feature Concentration;Architectural Smell;The diamond operator (<>) should be used;Code Smell;113
Broken Hierarchy;Design Smell;Unutilized Abstraction;Design Smell;110
Broken Hierarchy;Design Smell;Feature Concentration;Architectural Smell;104
Feature Concentration;Architectural Smell;Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;95
Feature Concentration;Architectural Smell;Insufficient Modularization;Design Smell;94
Feature Concentration;Architectural Smell;Methods should not have too many parameters;Code Smell;92
Anonymous inner classes containing only one method should become lambdas;Code Smell;Feature Concentration;Architectural Smell;81
Cognitive Complexity of methods should not be too high;Code Smell;Feature Concentration;Architectural Smell;75
Feature Concentration;Architectural Smell;Unnecessary imports should be removed;Code Smell;70
Feature Concentration;Architectural Smell;Source files should not have any duplicated blocks;Code Smell;66
Cognitive Complexity of methods should not be too high;Code Smell;The diamond operator (<>) should be used;Code Smell;53
Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;Source files should not have any duplicated blocks;Code Smell;52
Feature Concentration;Architectural Smell;throws declarations should not be superfluous;Code Smell;51
Anonymous inner classes containing only one method should become lambdas;Code Smell;The diamond operator (<>) should be used;Code Smell;50
Cognitive Complexity of methods should not be too high;Code Smell;Methods should not have too many parameters;Code Smell;48
Methods should not have too many parameters;Code Smell;The diamond operator (<>) should be used;Code Smell;47
Cognitive Complexity of methods should not be too high;Code Smell;Insufficient Modularization;Design Smell;46
Cognitive Complexity of methods should not be too high;Code Smell;Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;44
Deficient Encapsulation;Design Smell;Feature Concentration;Architectural Smell;44
Insufficient Modularization;Design Smell;The diamond operator (<>) should be used;Code Smell;44
Insufficient Modularization;Design Smell;Methods should not have too many parameters;Code Smell;43
Anonymous inner classes containing only one method should become lambdas;Code Smell;Methods should not have too many parameters;Code Smell;37
The diamond operator (<>) should be used;Code Smell;Unutilized Abstraction;Design Smell;34
Insufficient Modularization;Design Smell;Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;34
Anonymous inner classes containing only one method should become lambdas;Code Smell;Insufficient Modularization;Design Smell;33
Methods should not have too many parameters;Code Smell;Source files should not have any duplicated blocks;Code Smell;32
Insufficient Modularization;Design Smell;Unutilized Abstraction;Design Smell;32
Anonymous inner classes containing only one method should become lambdas;Code Smell;Cognitive Complexity of methods should not be too high;Code Smell;31
Methods should not have too many parameters;Code Smell;throws declarations should not be superfluous;Code Smell;31
The diamond operator (<>) should be used;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;31
Feature Concentration;Architectural Smell;Track uses of TODO tags;Code Smell;29
Unnecessary imports should be removed;Code Smell;Unutilized Abstraction;Design Smell;29
@Deprecated code should not be used;Code Smell;Feature Concentration;Architectural Smell;29
Feature Concentration;Architectural Smell;Generic exceptions should never be thrown;Code Smell;28
The diamond operator (<>) should be used;Code Smell;throws declarations should not be superfluous;Code Smell;27
The diamond operator (<>) should be used;Code Smell;Unnecessary imports should be removed;Code Smell;27
Cognitive Complexity of methods should not be too high;Code Smell;Source files should not have any duplicated blocks;Code Smell;26
Feature Concentration;Architectural Smell;Java 8 features should be preferred to Guava;Code Smell;24
Insufficient Modularization;Design Smell;Source files should not have any duplicated blocks;Code Smell;24
Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;Unnecessary imports should be removed;Code Smell;24
@Deprecated code should not be used;Code Smell;Methods should not have too many parameters;Code Smell;24
Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;The diamond operator (<>) should be used;Code Smell;23
Methods should not have too many parameters;Code Smell;Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;23
Anonymous inner classes containing only one method should become lambdas;Code Smell;Unnecessary imports should be removed;Code Smell;22
Anonymous inner classes containing only one method should become lambdas;Code Smell;throws declarations should not be superfluous;Code Smell;22
The diamond operator (<>) should be used;Code Smell;Track uses of TODO tags;Code Smell;21
Feature Concentration;Architectural Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;21
Feature Concentration;Architectural Smell;String literals should not be duplicated;Code Smell;21
Generic exceptions should never be thrown;Code Smell;The diamond operator (<>) should be used;Code Smell;21
Cognitive Complexity of methods should not be too high;Code Smell;Track uses of TODO tags;Code Smell;20
Cognitive Complexity of methods should not be too high;Code Smell;Unnecessary imports should be removed;Code Smell;20
Source files should not have any duplicated blocks;Code Smell;Unutilized Abstraction;Design Smell;20
Catches should be combined;Code Smell;Feature Concentration;Architectural Smell;20
Feature Concentration;Architectural Smell;Unused method parameters should be removed;Code Smell;19
Methods should not have too many parameters;Code Smell;Unutilized Abstraction;Design Smell;19
@Deprecated code should not be used;Code Smell;throws declarations should not be superfluous;Code Smell;18
Cognitive Complexity of methods should not be too high;Code Smell;Unutilized Abstraction;Design Smell;17
String literals should not be duplicated;Code Smell;The diamond operator (<>) should be used;Code Smell;17
Catches should be combined;Code Smell;The diamond operator (<>) should be used;Code Smell;17
Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;Unutilized Abstraction;Design Smell;17
The diamond operator (<>) should be used;Code Smell;Unused method parameters should be removed;Code Smell;17
Broken Hierarchy;Design Smell;Methods should not have too many parameters;Code Smell;17
Methods should not have too many parameters;Code Smell;Track uses of TODO tags;Code Smell;17
Methods should not have too many parameters;Code Smell;Unnecessary imports should be removed;Code Smell;17
Broken Hierarchy;Design Smell;Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;17
Cognitive Complexity of methods should not be too high;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;17
Anonymous inner classes containing only one method should become lambdas;Code Smell;Unutilized Abstraction;Design Smell;17
Feature Concentration;Architectural Smell;Local variables should not be declared and then immediately returned or thrown;Code Smell;16
Feature Concentration;Architectural Smell;Unused private fields should be removed;Code Smell;16
Anonymous inner classes containing only one method should become lambdas;Code Smell;Track uses of TODO tags;Code Smell;16
Feature Concentration;Architectural Smell;Sections of code should not be commented out;Code Smell;16
Java 8 features should be preferred to Guava;Code Smell;The diamond operator (<>) should be used;Code Smell;16
Source files should not have any duplicated blocks;Code Smell;Unnecessary imports should be removed;Code Smell;15
Insufficient Modularization;Design Smell;Track uses of TODO tags;Code Smell;15
Source files should not have any duplicated blocks;Code Smell;The diamond operator (<>) should be used;Code Smell;15
Anonymous inner classes containing only one method should become lambdas;Code Smell;Generic exceptions should never be thrown;Code Smell;14
Loops should not contain more than a single break or continue statement;Code Smell;The diamond operator (<>) should be used;Code Smell;14
Feature Concentration;Architectural Smell;Preconditions and logging arguments should not require evaluation;Code Smell;14
Broken Hierarchy;Design Smell;Unnecessary imports should be removed;Code Smell;14
Anonymous inner classes containing only one method should become lambdas;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;14
Local variables should not be declared and then immediately returned or thrown;Code Smell;The diamond operator (<>) should be used;Code Smell;14
Cognitive Complexity of methods should not be too high;Code Smell;throws declarations should not be superfluous;Code Smell;14
Catches should be combined;Code Smell;Cognitive Complexity of methods should not be too high;Code Smell;13
Feature Concentration;Architectural Smell;Printf-style format strings should be used correctly;Code Smell;13
Anonymous inner classes containing only one method should become lambdas;Code Smell;Deficient Encapsulation;Design Smell;13
Unutilized Abstraction;Design Smell;throws declarations should not be superfluous;Code Smell;13
Cognitive Complexity of methods should not be too high;Code Smell;String literals should not be duplicated;Code Smell;13
Anonymous inner classes containing only one method should become lambdas;Code Smell;Java 8 features should be preferred to Guava;Code Smell;13
Cognitive Complexity of methods should not be too high;Code Smell;Generic exceptions should never be thrown;Code Smell;13
Boxed Boolean should be avoided in boolean expressions;Code Smell;Feature Concentration;Architectural Smell;13
Catches should be combined;Code Smell;Methods should not have too many parameters;Code Smell;13
Insufficient Modularization;Design Smell;String literals should not be duplicated;Code Smell;13
Preconditions and logging arguments should not require evaluation;Code Smell;The diamond operator (<>) should be used;Code Smell;13
@Deprecated code should not be used;Code Smell;Anonymous inner classes containing only one method should become lambdas;Code Smell;13
Cognitive Complexity of methods should not be too high;Code Smell;Loops should not contain more than a single break or continue statement;Code Smell;13
@Deprecated code should not be used;Code Smell;The diamond operator (<>) should be used;Code Smell;13
Feature Concentration;Architectural Smell;Utility classes should not have public constructors;Code Smell;13
Methods should not have too many parameters;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;13
Generic exceptions should never be thrown;Code Smell;Methods should not have too many parameters;Code Smell;13
Insufficient Modularization;Design Smell;Unnecessary imports should be removed;Code Smell;12
Collection.isEmpty() should be used to test for emptiness;Code Smell;The diamond operator (<>) should be used;Code Smell;12
Deficient Encapsulation;Design Smell;The diamond operator (<>) should be used;Code Smell;12
Methods should not have too many parameters;Code Smell;String literals should not be duplicated;Code Smell;12
Feature Concentration;Architectural Smell;Subclasses that add fields should override equals;Code Smell;12
Child class fields should not shadow parent class fields;Code Smell;Feature Concentration;Architectural Smell;12
Anonymous inner classes containing only one method should become lambdas;Code Smell;Null pointers should not be dereferenced;Code Smell;11
Broken Hierarchy;Design Smell;Cognitive Complexity of methods should not be too high;Code Smell;11
Anonymous inner classes containing only one method should become lambdas;Code Smell;Unused method parameters should be removed;Code Smell;11
Null pointers should not be dereferenced;Code Smell;The diamond operator (<>) should be used;Code Smell;11
Cognitive Complexity of methods should not be too high;Code Smell;Deficient Encapsulation;Design Smell;11
Cognitive Complexity of methods should not be too high;Code Smell;Null pointers should not be dereferenced;Code Smell;11
Preconditions and logging arguments should not require evaluation;Code Smell;Printf-style format strings should be used correctly;Code Smell;11
Cyclically-dependent Modularization;Design Smell;Feature Concentration;Architectural Smell;11
Anonymous inner classes containing only one method should become lambdas;Code Smell;Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;11
Cognitive Complexity of methods should not be too high;Code Smell;Collapsible if statements should be merged;Code Smell;11
Insufficient Modularization;Design Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;11
Feature Concentration;Architectural Smell;Null pointers should not be dereferenced;Code Smell;11
Catches should be combined;Code Smell;Generic exceptions should never be thrown;Code Smell;11
Java 8 features should be preferred to Guava;Code Smell;Methods should not have too many parameters;Code Smell;11
Cognitive Complexity of methods should not be too high;Code Smell;Preconditions and logging arguments should not require evaluation;Code Smell;11
Anonymous inner classes containing only one method should become lambdas;Code Smell;String literals should not be duplicated;Code Smell;11
Methods should not have too many parameters;Code Smell;Preconditions and logging arguments should not require evaluation;Code Smell;10
Insufficient Modularization;Design Smell;Java 8 features should be preferred to Guava;Code Smell;10
Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;Track uses of TODO tags;Code Smell;10
Methods should not be empty;Code Smell;The diamond operator (<>) should be used;Code Smell;10
Cognitive Complexity of methods should not be too high;Code Smell;Unused method parameters should be removed;Code Smell;10
Track uses of TODO tags;Code Smell;throws declarations should not be superfluous;Code Smell;10
Methods should not have too many parameters;Code Smell;Unused method parameters should be removed;Code Smell;10
Feature Concentration;Architectural Smell;Methods should not be empty;Code Smell;10
Anonymous inner classes containing only one method should become lambdas;Code Smell;Source files should not have any duplicated blocks;Code Smell;10
Map.get and value test should be replaced with single method call;Code Smell;The diamond operator (<>) should be used;Code Smell;10
Cognitive Complexity of methods should not be too high;Code Smell;Java 8 features should be preferred to Guava;Code Smell;10
Anonymous inner classes containing only one method should become lambdas;Code Smell;Catches should be combined;Code Smell;10
Deficient Encapsulation;Design Smell;Insufficient Modularization;Design Smell;10
Boxed Boolean should be avoided in boolean expressions;Code Smell;Methods should not have too many parameters;Code Smell;10
Feature Concentration;Architectural Smell;Loops should not contain more than a single break or continue statement;Code Smell;10
Feature Envy;Design Smell;Unutilized Abstraction;Design Smell;10
Anonymous inner classes containing only one method should become lambdas;Code Smell;Loops should not contain more than a single break or continue statement;Code Smell;9
Generic exceptions should never be thrown;Code Smell;throws declarations should not be superfluous;Code Smell;9
Deficient Encapsulation;Design Smell;Unnecessary imports should be removed;Code Smell;9
@Deprecated code should not be used;Code Smell;Broken Hierarchy;Design Smell;9
Cognitive Complexity of methods should not be too high;Code Smell;Printf-style format strings should be used correctly;Code Smell;9
@Deprecated code should not be used;Code Smell;Source files should not have any duplicated blocks;Code Smell;9
Fields in a Serializable class should either be transient or serializable;Code Smell;Insufficient Modularization;Design Smell;9
Java 8 features should be preferred to Guava;Code Smell;Unutilized Abstraction;Design Smell;9
Feature Concentration;Architectural Smell;Local variables should not shadow class fields;Code Smell;9
Printf-style format strings should be used correctly;Code Smell;The diamond operator (<>) should be used;Code Smell;9
Boxed Boolean should be avoided in boolean expressions;Code Smell;The diamond operator (<>) should be used;Code Smell;9
The diamond operator (<>) should be used;Code Smell;Utility classes should not have public constructors;Code Smell;9
Generic exceptions should never be thrown;Code Smell;Unutilized Abstraction;Design Smell;8
Catches should be combined;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;8
Source files should not have any duplicated blocks;Code Smell;throws declarations should not be superfluous;Code Smell;8
Anonymous inner classes containing only one method should become lambdas;Code Smell;Boxed Boolean should be avoided in boolean expressions;Code Smell;8
Collapsible if statements should be merged;Code Smell;The diamond operator (<>) should be used;Code Smell;8
Insufficient Modularization;Design Smell;Loops should not contain more than a single break or continue statement;Code Smell;8
Child class fields should not shadow parent class fields;Code Smell;The diamond operator (<>) should be used;Code Smell;8
Child class fields should not shadow parent class fields;Code Smell;Methods should not have too many parameters;Code Smell;8
Deficient Encapsulation;Design Smell;Unutilized Abstraction;Design Smell;8
Unnecessary imports should be removed;Code Smell;throws declarations should not be superfluous;Code Smell;8
Broken Hierarchy;Design Smell;The diamond operator (<>) should be used;Code Smell;8
Insufficient Modularization;Design Smell;throws declarations should not be superfluous;Code Smell;8
Collection.isEmpty() should be used to test for emptiness;Code Smell;Feature Concentration;Architectural Smell;8
Local variables should not be declared and then immediately returned or thrown;Code Smell;Methods should not be empty;Code Smell;8
Feature Concentration;Architectural Smell;Feature Envy;Design Smell;8
Generic exceptions should never be thrown;Code Smell;Insufficient Modularization;Design Smell;8
Feature Concentration;Architectural Smell;Map.get and value test should be replaced with single method call;Code Smell;8
Deficient Encapsulation;Design Smell;Generic exceptions should never be thrown;Code Smell;8
Insufficient Modularization;Design Smell;Null pointers should not be dereferenced;Code Smell;8
Anonymous inner classes containing only one method should become lambdas;Code Smell;Local variables should not be declared and then immediately returned or thrown;Code Smell;8
@Deprecated code should not be used;Code Smell;Insufficient Modularization;Design Smell;8
Anonymous inner classes containing only one method should become lambdas;Code Smell;Unused private fields should be removed;Code Smell;7
Unnecessary imports should be removed;Code Smell;Unused method parameters should be removed;Code Smell;7
Track uses of TODO tags;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;7
Broken Hierarchy;Design Smell;throws declarations should not be superfluous;Code Smell;7
