Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,DefaultAccount,3,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,DefaultAccount,3,1,23
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,DefaultAccount,25,1,25
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,DefaultAccount,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getExternalKey,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getName,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getEmail,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getFirstNameLength,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getCurrency,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getParentAccountId,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,isPaymentDelegatedToParent,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getBillCycleDayLocal,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getPaymentMethodId,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getTimeZone,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getLocale,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getAddress1,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getAddress2,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getCompanyName,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getCity,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getStateOrProvince,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getPostalCode,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getCountry,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,isMigrated,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getPhone,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getNotes,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,toMutableAccountData,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,mergeWithDelegate,37,4,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getFixedOffsetTimeZone,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,getReferenceTime,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,toString,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,equals,79,26,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,hashCode,26,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,validateAccountUpdateInput,17,6,2
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccountEmail,DefaultAccountEmail,5,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccountEmail,DefaultAccountEmail,5,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccountEmail,getAccountId,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccountEmail,getEmail,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccountEmail,toString,8,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccountEmail,equals,16,5,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccountEmail,hashCode,5,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccountService,getName,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccountService,getRegistrationOrdering,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultChangedField,DefaultChangedField,6,1,4
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultChangedField,getFieldName,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultChangedField,getOldValue,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultChangedField,getNewValue,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultChangedField,getChangeDate,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultChangedField,hashCode,9,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultChangedField,equals,45,16,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,DefaultImmutableAccountData,2,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,DefaultImmutableAccountData,8,1,6
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,DefaultImmutableAccountData,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,DefaultImmutableAccountData,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,getId,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,getExternalKey,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,getCurrency,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,getTimeZone,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,getFixedOffsetTimeZone,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,getReferenceTime,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,toString,11,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,equals,25,8,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,hashCode,9,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,readExternal,8,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,writeExternal,12,2,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,DefaultMutableAccountData,24,1,22
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,DefaultMutableAccountData,24,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getExternalKey,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setExternalKey,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getEmail,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setEmail,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getName,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setName,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getFirstNameLength,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setFirstNameLength,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getCurrency,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setCurrency,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getBillCycleDayLocal,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setBillCycleDayLocal,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getPaymentMethodId,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getReferenceTime,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setPaymentMethodId,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setReferenceTime,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getTimeZone,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setTimeZone,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getLocale,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setLocale,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getAddress1,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setAddress1,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getAddress2,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setAddress2,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getCompanyName,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setCompanyName,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getCity,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setCity,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getStateOrProvince,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setStateOrProvince,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getCountry,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setCountry,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getPostalCode,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setPostalCode,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getPhone,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setPhone,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getNotes,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setNotes,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,isMigrated,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setIsMigrated,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,getParentAccountId,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setParentAccountId,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,setIsPaymentDelegatedToParent,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,isPaymentDelegatedToParent,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,TestDefaultAccount,testConstructorAcceptsNullValues,22,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,TestDefaultAccount,testMergeWithDelegate,32,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,TestDefaultAccount,testBCDMerges,27,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,TestDefaultAccount,checkAccountEquals,21,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api,TestDefaultAccount,getAccountData,22,1,3
killbill-killbill-0.20.14,org.killbill.billing.account.api,TestDefaultAccount,getNullAccountData,8,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api,TestDefaultAccount,answer,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,AccountInternalApi,getAccountByKey,0,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api,AccountInternalApi,getAccountById,0,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api,AccountInternalApi,getAccountByRecordId,0,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api,AccountInternalApi,updateBCD,0,1,3
killbill-killbill-0.20.14,org.killbill.billing.account.api,AccountInternalApi,getBCD,0,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api,AccountInternalApi,getEmails,0,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api,AccountInternalApi,removePaymentMethod,0,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api,AccountInternalApi,updatePaymentMethod,0,1,3
killbill-killbill-0.20.14,org.killbill.billing.account.api,AccountInternalApi,getByRecordId,0,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api,AccountInternalApi,getChildrenAccounts,0,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api,ImmutableAccountInternalApi,getImmutableAccountDataById,0,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api,ImmutableAccountInternalApi,getImmutableAccountDataByRecordId,0,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,DefaultAccountInternalApi,6,1,4
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,getAccountById,3,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,getAccountByKey,3,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,getAccountByRecordId,3,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,updateBCD,15,3,3
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,getBCD,7,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,getEmails,8,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,apply,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,removePaymentMethod,3,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,updatePaymentMethod,3,1,3
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,getByRecordId,4,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,getImmutableAccountDataById,3,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,getImmutableAccountDataByRecordId,3,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,getAccountModelDaoByRecordId,7,2,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,createBCDCacheLoaderArgument,16,2,1
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,loadAccountBCD,7,2,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,getChildrenAccounts,8,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,apply,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultImmutableAccountInternalApi,DefaultImmutableAccountInternalApi,6,1,5
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultImmutableAccountInternalApi,getImmutableAccountDataById,4,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultImmutableAccountInternalApi,getImmutableAccountDataByRecordId,4,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultImmutableAccountInternalApi,createImmutableAccountCacheLoaderArgument,11,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultImmutableAccountInternalApi,loadAccount,4,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultImmutableAccountInternalApi,getAccountByRecordIdInternal,10,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultImmutableAccountInternalApi,inTransaction,4,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountApiBase,DefaultAccountApiBase,6,1,3
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountApiBase,getAccountById,9,2,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountApiBase,getAccountByKey,10,2,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountApiBase,getAccountByRecordId,7,2,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountApiBase,getAccountByRecordIdInternal,4,1,2
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountChangeEvent,DefaultAccountChangeEvent,5,1,5
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountChangeEvent,DefaultAccountChangeEvent,5,1,7
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountChangeEvent,getBusEventType,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountChangeEvent,getAccountId,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountChangeEvent,getChangedFields,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountChangeEvent,hasChanges,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountChangeEvent,hashCode,7,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountChangeEvent,equals,29,10,1
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountChangeEvent,calculateChangedFields,19,1,3
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountChangeEvent,addIfValueChanged,10,4,5
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountCreationEvent,DefaultAccountCreationEvent,5,1,5
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountCreationEvent,getBusEventType,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountCreationEvent,getId,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountCreationEvent,getData,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountCreationEvent,hashCode,7,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountCreationEvent,equals,29,10,1
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountCreationEvent,DefaultAccountData,3,1,1
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountCreationEvent,DefaultAccountData,24,1,22
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountCreationEvent,getExternalKey,3,1,0
killbill-killbill-0.20.14,org.killbill.billing.account.api.user,DefaultAccountCreationEvent,getName,3,1,0
