Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccount,22,0,33,33,301,66,0,0,0.12121212121212122,1,1,C:\Users\soelm\Desktop\Repositories\SoftwareMaintenance\killbill-killbill-0.20.14\account\src\main\java\org\killbill\billing\account\api\DefaultAccount.java
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccountEmail,2,0,7,7,49,11,0,0,0.0,1,2,C:\Users\soelm\Desktop\Repositories\SoftwareMaintenance\killbill-killbill-0.20.14\account\src\main\java\org\killbill\billing\account\api\DefaultAccountEmail.java
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultAccountService,0,0,2,2,8,2,0,1,-1.0,1,0,C:\Users\soelm\Desktop\Repositories\SoftwareMaintenance\killbill-killbill-0.20.14\account\src\main\java\org\killbill\billing\account\api\DefaultAccountService.java
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultChangedField,4,0,7,7,78,22,0,0,0.0,1,1,C:\Users\soelm\Desktop\Repositories\SoftwareMaintenance\killbill-killbill-0.20.14\account\src\main\java\org\killbill\billing\account\api\DefaultChangedField.java
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultImmutableAccountData,7,0,15,15,108,23,0,0,0.26666666666666666,0,1,C:\Users\soelm\Desktop\Repositories\SoftwareMaintenance\killbill-killbill-0.20.14\account\src\main\java\org\killbill\billing\account\api\DefaultImmutableAccountData.java
killbill-killbill-0.20.14,org.killbill.billing.account.api,DefaultMutableAccountData,23,1,46,46,205,46,0,0,0.0,2,0,C:\Users\soelm\Desktop\Repositories\SoftwareMaintenance\killbill-killbill-0.20.14\account\src\main\java\org\killbill\billing\account\api\DefaultMutableAccountData.java
killbill-killbill-0.20.14,org.killbill.billing.account.api,TestDefaultAccount,0,0,7,4,134,7,0,0,-1.0,0,2,C:\Users\soelm\Desktop\Repositories\SoftwareMaintenance\killbill-killbill-0.20.14\account\src\test\java\org\killbill\billing\account\api\TestDefaultAccount.java
killbill-killbill-0.20.14,org.killbill.billing.account.api,AccountInternalApi,0,0,10,0,12,10,0,1,-1.0,3,2,C:\Users\soelm\Desktop\Repositories\SoftwareMaintenance\killbill-killbill-0.20.14\api\src\main\java\org\killbill\billing\account\api\AccountInternalApi.java
killbill-killbill-0.20.14,org.killbill.billing.account.api,AccountService,0,0,0,0,6,0,1,0,-1.0,1,0,C:\Users\soelm\Desktop\Repositories\SoftwareMaintenance\killbill-killbill-0.20.14\api\src\main\java\org\killbill\billing\account\api\AccountService.java
killbill-killbill-0.20.14,org.killbill.billing.account.api,ImmutableAccountInternalApi,0,0,2,0,4,2,1,0,-1.0,2,1,C:\Users\soelm\Desktop\Repositories\SoftwareMaintenance\killbill-killbill-0.20.14\api\src\main\java\org\killbill\billing\account\api\ImmutableAccountInternalApi.java
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultAccountInternalApi,3,0,18,16,97,23,0,0,0.4444444444444444,1,2,C:\Users\soelm\Desktop\Repositories\SoftwareMaintenance\killbill-killbill-0.20.14\account\src\main\java\org\killbill\billing\account\api\svcs\DefaultAccountInternalApi.java
killbill-killbill-0.20.14,org.killbill.billing.account.api.svcs,DefaultImmutableAccountInternalApi,4,0,7,5,41,7,0,0,0.5714285714285714,1,1,C:\Users\soelm\Desktop\Repositories\SoftwareMaintenance\killbill-killbill-0.20.14\account\src\main\java\org\killbill\billing\account\api\svcs\DefaultImmutableAccountInternalApi.java
